unnecessary#a  necessary#a
unnecessary#a  necessary#a  (all senses)
unnecessary#a#1  necessary#a#1  68
unnecessary#a#1  necessary#a#2  8

impatient#a  anxious#a
impatient#a  anxious#a  (all senses)
impatient#a#2  anxious#a#1  124
impatient#a#2  anxious#a#2  10
impatient#a#1  anxious#a#2  8
impatient#a#1  anxious#a#1  5

old#a  new#a
old#a  new#a  (all senses)
old#a#2  new#a#1  177
old#a#7  new#a#9  115
old#a#7  new#a#8  100
old#a#1  new#a#1  93
old#a#1  new#a#9  38
old#a#7  new#a#10  38
old#a#7  new#a#1  34
old#a#2  new#a#9  29
old#a#1  new#a#8  28
old#a#1  new#a#2  27
old#a#2  new#a#2  26
old#a#2  new#a#7  25
old#a#1  new#a#7  25
old#a#2  new#a#8  21
old#a#5  new#a#1  21
old#a#2  new#a#5  19
old#a#7  new#a#2  19
old#a#2  new#a#6  17
old#a#2  new#a#10  16
old#a#1  new#a#5  15
old#a#1  new#a#10  15
old#a#1  new#a#4  15
old#a#7  new#a#7  14
old#a#8  new#a#1  14
old#a#4  new#a#1  11
old#a#5  new#a#5  10
old#a#6  new#a#1  10
old#a#7  new#a#5  8
old#a#1  new#a#3  8
old#a#2  new#a#11  8
old#a#2  new#a#3  8
old#a#2  new#a#4  8
old#a#1  new#a#6  7
old#a#5  new#a#8  7
old#a#6  new#a#5  7
old#a#4  new#a#3  7
old#a#8  new#a#8  6
old#a#7  new#a#11  6
old#a#8  new#a#5  6
old#a#8  new#a#9  5
old#a#4  new#a#5  5
old#a#6  new#a#2  5
old#a#6  new#a#9  5
old#a#8  new#a#7  5
old#a#5  new#a#9  5
old#a#8  new#a#2  5
old#a#8  new#a#4  5
old#a#8  new#a#3  5
old#a#3  new#a#1  5
old#a#4  new#a#4  4
old#a#5  new#a#4  4
old#a#7  new#a#4  4
old#a#7  new#a#3  4
old#a#6  new#a#8  4
old#a#5  new#a#11  4
old#a#5  new#a#2  3
old#a#6  new#a#4  3
old#a#6  new#a#3  3
old#a#4  new#a#2  3
old#a#3  new#a#9  3
old#a#6  new#a#7  3
old#a#1  new#a#11  3
old#a#8  new#a#10  3
old#a#4  new#a#7  3
old#a#3  new#a#5  3
old#a#4  new#a#9  2
old#a#6  new#a#11  2
old#a#6  new#a#10  2
old#a#6  new#a#6  2
old#a#7  new#a#6  2
old#a#3  new#a#3  2
old#a#3  new#a#7  2
old#a#4  new#a#10  2
old#a#3  new#a#8  2
old#a#5  new#a#6  2
old#a#4  new#a#8  2
old#a#5  new#a#3  2
old#a#8  new#a#6  2
old#a#3  new#a#4  1
old#a#5  new#a#10  1
old#a#8  new#a#11  1
old#a#3  new#a#2  1
old#a#5  new#a#7  1
old#a#3  new#a#10  1
old#a#4  new#a#6  1
old#a#3  new#a#6  1
old#a#4  new#a#11  1
old#a#3  new#a#11  0

sly#a  clever#a
sly#a  clever#a  (all senses)
sly#a#1  clever#a#3  9
sly#a#1  clever#a#1  4
sly#a#1  clever#a#2  3

large#a  flexible#a
large#a  flexible#a  (all senses)
large#a#1  flexible#a#2  32
large#a#1  flexible#a#3  18
large#a#1  flexible#a#1  15
